pt,en
SE CALHAR,maybe / perhaps
JÁ VOU,I'm coming
COM LICENÇA,excuse me
ESTÁ TUDO BEM?,all good?
LOGO SE VÊ,we'll see
NÃO FAZ MAL,no problem
ATÉ JÁ,see you soon
QUE GIRO!,how nice!
TENHO SONO,I'm sleepy
TENHO FOME,I'm hungry
BOM DIA,good morning
BOA TARDE,good afternoon
BOA NOITE,good evening
OLÁ,hello
ADEUS,goodbye
ATÉ LOGO,see you later
ATÉ AMANHÃ,till tomorrow
POR FAVOR,please
OBRIGADO,thank you (m)
OBRIGADA,thank you (f)
DE NADA,you're welcome
DESCULPE,sorry / pardon
COM CERTEZA,of course
CLARO,of course
TALVEZ,maybe
QUE PENA!,what a shame!
QUE FIXE!,how cool!
BORA!,let's go!
PRONTO,okay / done
ENTÃO?,so? / well?
OLHA,hey / look
NÃO SEI,I don't know
JÁ SEI,I got it
TÁ BEM,okay / alright
A SÉRIO?,seriously?
FORÇA!,go for it!
VÁ LÁ,come on
ESPERA,wait
DEIXA ESTAR,never mind
SAUDADE,longing
ANDA CÁ,come here
POIS,yeah / right
POIS É,right / indeed
BOA!,nice! / great!
EPÁ!,wow / hey
FICA BEM,take care
COM PRAZER,with pleasure
QUE SAUDADE!,I miss it so!
É MESMO!,for real!
SAÚDE!,cheers!
